Column1,Column2,Column3
POINT (135.545988 34.73118 0.0),èÌ„ƒäwâÄíÜäwçZÅEçÇìôäwçZ,795.7 m from ëæéqã¥ç°és
POINT (135.549249 34.724222 0.0),êÁó—ëÂã{,
"POLYGON ((135.549249 34.731417, 135.547686 34.731301, 135.546173 34.730958, 135.544759 34.730398, 135.543489 34.72964, 135.542405 34.728708, 135.54154 34.727631, 135.540924 34.726445, 135.540575 34.725187, 135.540504 34.723899, 135.540715 34.722621, 135.5412 34.721394, 135.541944 34.720258, 135.542922 34.71925, 135.544104 34.718401, 135.545451 34.71774, 135.54692 34.717287, 135.548464 34.717056, 135.550034 34.717056, 135.551578 34.717287, 135.553047 34.71774, 135.554394 34.718401, 135.555576 34.71925, 135.556554 34.720258, 135.557298 34.721394, 135.557783 34.722621, 135.557994 34.723899, 135.557923 34.725187, 135.557574 34.726445, 135.556958 34.727631, 135.556093 34.728708, 135.555009 34.72964, 135.553739 34.730398, 135.552325 34.730958, 135.550812 34.731301, 135.549249 34.731417))",êÁó—ëÂã{ 800m radius,
POINT (135.541421 34.726972 0.0),ëÂç„ésóßëÂã{íÜäwçZ,778.0 m from êÁó—ëÂã{
POINT (135.545822 34.715336 0.0),ä÷ñ⁄çÇìa,
"POLYGON ((135.545822 34.722531, 135.544259 34.722415, 135.542746 34.722072, 135.541332 34.721512, 135.540063 34.720754, 135.538979 34.719822, 135.538114 34.718745, 135.537498 34.717559, 135.537149 34.716301, 135.537078 34.715013, 135.537289 34.713735, 135.537774 34.712508, 135.538518 34.711372, 135.539496 34.710364, 135.540678 34.709515, 135.542025 34.708854, 135.543494 34.708401, 135.545037 34.70817, 135.546607 34.70817, 135.54815 34.708401, 135.549619 34.708854, 135.550966 34.709515, 135.552148 34.710364, 135.553126 34.711372, 135.55387 34.712508, 135.554355 34.713735, 135.554566 34.715013, 135.554495 34.716301, 135.554146 34.717559, 135.55353 34.718745, 135.552665 34.719822, 135.551581 34.720754, 135.550312 34.721512, 135.548898 34.722072, 135.547385 34.722415, 135.545822 34.722531))",ä÷ñ⁄çÇìa 800m radius,
POINT (135.542187 34.718207 0.0),ëÂç„ï{óßàÆçÇìôäwçZ,460.7 m from ä÷ñ⁄çÇìa
POINT (135.539681 34.718808 0.0),ëÂç„ésóßàÆózíÜäwçZ,681.2 m from ä÷ñ⁄çÇìa
POINT (135.538573 34.709392 0.0),ñÏç]ì‡ë„,
"POLYGON ((135.538573 34.716587, 135.53701 34.716471, 135.535498 34.716128, 135.534084 34.715568, 135.532814 34.71481, 135.53173 34.713878, 135.530866 34.712801, 135.530249 34.711615, 135.5299 34.710357, 135.52983 34.709069, 135.530041 34.707791, 135.530526 34.706564, 135.531269 34.705428, 135.532247 34.70442, 135.533429 34.703571, 135.534776 34.70291, 135.536245 34.702457, 135.537789 34.702226, 135.539357 34.702226, 135.540901 34.702457, 135.54237 34.70291, 135.543717 34.703571, 135.544899 34.70442, 135.545877 34.705428, 135.54662 34.706564, 135.547105 34.707791, 135.547316 34.709069, 135.547246 34.710357, 135.546897 34.711615, 135.54628 34.712801, 135.545416 34.713878, 135.544332 34.71481, 135.543062 34.715568, 135.541648 34.716128, 135.540136 34.716471, 135.538573 34.716587))",ñÏç]ì‡ë„ 800m radius,
POINT (135.533066 34.712668 0.0),ëÂç„ésóßçÇëqíÜäwçZ,621.4 m from ñÏç]ì‡ë„
POINT (135.544906 34.705018 0.0),ëÂç„ésóßäóê∂íÜäwçZ,756.1 m from ñÏç]ì‡ë„
POINT (135.525858 34.708973 0.0),ìsìá,
"POLYGON ((135.525858 34.716168, 135.524295 34.716052, 135.522783 34.715709, 135.521369 34.715149, 135.520099 34.714391, 135.519015 34.713459, 135.518151 34.712382, 135.517534 34.711196, 135.517185 34.709938, 135.517115 34.70865, 135.517326 34.707372, 135.517811 34.706145, 135.518554 34.705009, 135.519533 34.704001, 135.520714 34.703152, 135.522061 34.702491, 135.52353 34.702038, 135.525074 34.701807, 135.526642 34.701807, 135.528186 34.702038, 135.529655 34.702491, 135.531002 34.703152, 135.532183 34.704001, 135.533162 34.705009, 135.533905 34.706145, 135.53439 34.707372, 135.534601 34.70865, 135.534531 34.709938, 135.534182 34.711196, 135.533565 34.712382, 135.532701 34.713459, 135.531617 34.714391, 135.530347 34.715149, 135.528933 34.715709, 135.527421 34.716052, 135.525858 34.716168))",ìsìá 800m radius,
POINT (135.526022 34.709817 0.0),ëÂç„ésóßìsìáëÊìÒçHã∆çÇìôäwçZ,95.0 m from ìsìá
POINT (135.525073 34.710677 0.0),ëÂç„ésóßìsìáçHã∆çÇìôäwçZ,202.6 m from ìsìá
POINT (135.52592 34.702947 0.0),ëÂç„ésóßìsìáíÜäwçZ,670.1 m from ìsìá
POINT (135.533066 34.712668 0.0),ëÂç„ésóßçÇëqíÜäwçZ,776.5 m from ìsìá
POINT (135.510782 34.709807 0.0),ìVê_ã¥ãÿòZíöñ⁄,
"POLYGON ((135.510782 34.717002, 135.509219 34.716886, 135.507707 34.716543, 135.506293 34.715983, 135.505023 34.715225, 135.503939 34.714293, 135.503075 34.713216, 135.502458 34.71203, 135.502109 34.710772, 135.502039 34.709484, 135.50225 34.708206, 135.502735 34.706979, 135.503478 34.705843, 135.504456 34.704835, 135.505638 34.703986, 135.506985 34.703325, 135.508454 34.702872, 135.509998 34.702641, 135.511566 34.702641, 135.51311 34.702872, 135.514579 34.703325, 135.515926 34.703986, 135.517108 34.704835, 135.518086 34.705843, 135.518829 34.706979, 135.519314 34.708206, 135.519525 34.709484, 135.519455 34.710772, 135.519106 34.71203, 135.518489 34.713216, 135.517625 34.714293, 135.516541 34.715225, 135.515271 34.715983, 135.513857 34.716543, 135.512345 34.716886, 135.510782 34.717002))",ìVê_ã¥ãÿòZíöñ⁄ 800m radius,
POINT (135.509496 34.71613 0.0),ëÂç„ésóßñLçËíÜäwçZ,712.8 m from ìVê_ã¥ãÿòZíöñ⁄
POINT (135.51777 34.713178 0.0),ëÂç„ésóßêVñLçËíÜäwçZ,740.6 m from ìVê_ã¥ãÿòZíöñ⁄
POINT (135.506838 34.703545 0.0),ëÂç„ésóßìVñûíÜäwçZ,784.1 m from ìVê_ã¥ãÿòZíöñ⁄
POINT (135.505623 34.707226 0.0),íÜçËí¨,
"POLYGON ((135.505623 34.714421, 135.50406 34.714305, 135.502548 34.713962, 135.501134 34.713402, 135.499865 34.712644, 135.49878 34.711712, 135.497916 34.710635, 135.497299 34.709449, 135.49695 34.708191, 135.49688 34.706903, 135.497091 34.705625, 135.497576 34.704398, 135.498319 34.703262, 135.499298 34.702254, 135.500479 34.701405, 135.501826 34.700744, 135.503295 34.700291, 135.504839 34.70006, 135.506407 34.70006, 135.507951 34.700291, 135.50942 34.700744, 135.510767 34.701405, 135.511948 34.702254, 135.512927 34.703262, 135.51367 34.704398, 135.514155 34.705625, 135.514366 34.706903, 135.514296 34.708191, 135.513947 34.709449, 135.51333 34.710635, 135.512466 34.711712, 135.511381 34.712644, 135.510112 34.713402, 135.508698 34.713962, 135.507186 34.714305, 135.505623 34.714421))",íÜçËí¨ 800m radius,
POINT (135.506838 34.703545 0.0),ëÂç„ésóßìVñûíÜäwçZ,424.1 m from íÜçËí¨
POINT (135.500597 34.711329 0.0),ÉNÉâÅ[ÉNãLîOçëç€çÇìôäwçZ,647.4 m from íÜçËí¨
POINT (135.499818 34.700595 0.0),ìåî~ìc,
"POLYGON ((135.499818 34.70779, 135.498255 34.707674, 135.496743 34.707331, 135.495329 34.706771, 135.49406 34.706013, 135.492976 34.705081, 135.492112 34.704004, 135.491495 34.702818, 135.491146 34.70156, 135.491076 34.700272, 135.491287 34.698994, 135.491771 34.697767, 135.492515 34.696631, 135.493493 34.695623, 135.494675 34.694774, 135.496021 34.694113, 135.49749 34.69366, 135.499034 34.693429, 135.500602 34.693429, 135.502146 34.69366, 135.503615 34.694113, 135.504961 34.694774, 135.506143 34.695623, 135.507121 34.696631, 135.507865 34.697767, 135.508349 34.698994, 135.50856 34.700272, 135.50849 34.70156, 135.508141 34.702818, 135.507524 34.704004, 135.50666 34.705081, 135.505576 34.706013, 135.504307 34.706771, 135.502893 34.707331, 135.501381 34.707674, 135.499818 34.70779))",ìåî~ìc 800m radius,
POINT (135.506838 34.703545 0.0),ëÂç„ésóßìVñûíÜäwçZ,720.7 m from ìåî~ìc
POINT (135.511002 34.697578 0.0),ìÏêXí¨,
"POLYGON ((135.511002 34.704773, 135.509439 34.704657, 135.507927 34.704314, 135.506513 34.703754, 135.505244 34.702996, 135.50416 34.702064, 135.503296 34.700987, 135.502679 34.699801, 135.50233 34.698543, 135.50226 34.697255, 135.502471 34.695977, 135.502956 34.69475, 135.503699 34.693614, 135.504677 34.692606, 135.505859 34.691757, 135.507205 34.691096, 135.508674 34.690643, 135.510218 34.690412, 135.511786 34.690412, 135.51333 34.690643, 135.514799 34.691096, 135.516145 34.691757, 135.517327 34.692606, 135.518305 34.693614, 135.519048 34.69475, 135.519533 34.695977, 135.519744 34.697255, 135.519674 34.698543, 135.519325 34.699801, 135.518708 34.700987, 135.517844 34.702064, 135.51676 34.702996, 135.515491 34.703754, 135.514077 34.704314, 135.512565 34.704657, 135.511002 34.704773))",ìÏêXí¨ 800m radius,
POINT (135.517219 34.699003 0.0),ëÂç„ï{óßç˜òaçÇìôäwçZ,590.0 m from ìÏêXí¨
POINT (135.51639 34.692636 0.0),ëÂç„Ç¬Ç≠ÇŒäJê¨çÇìôäwçZ,738.0 m from ìÏêXí¨
POINT (135.51634 34.69236 0.0),ëÂç„Ç¬Ç≠ÇŒäJê¨çÇìôäwçZ,758.2 m from ìÏêXí¨
POINT (135.506838 34.703545 0.0),ëÂç„ésóßìVñûíÜäwçZ,765.0 m from ìÏêXí¨
POINT (135.516441 34.690326 0.0),ìVñûã¥,
"POLYGON ((135.516441 34.697521, 135.514878 34.697405, 135.513366 34.697062, 135.511953 34.696502, 135.510684 34.695744, 135.5096 34.694812, 135.508736 34.693735, 135.508119 34.692549, 135.50777 34.691291, 135.5077 34.690003, 135.507911 34.688725, 135.508395 34.687498, 135.509139 34.686362, 135.510117 34.685354, 135.511298 34.684505, 135.512645 34.683844, 135.514113 34.683391, 135.515657 34.68316, 135.517225 34.68316, 135.518769 34.683391, 135.520237 34.683844, 135.521584 34.684505, 135.522765 34.685354, 135.523743 34.686362, 135.524487 34.687498, 135.524971 34.688725, 135.525182 34.690003, 135.525112 34.691291, 135.524763 34.692549, 135.524146 34.693735, 135.523282 34.694812, 135.522198 34.695744, 135.520929 34.696502, 135.519516 34.697062, 135.518004 34.697405, 135.516441 34.697521))",ìVñûã¥ 800m radius,
POINT (135.51634 34.69236 0.0),ëÂç„Ç¬Ç≠ÇŒäJê¨çÇìôäwçZ,226.3 m from ìVñûã¥
POINT (135.516364 34.688285 0.0),ëÂç„ï{óßíÜâõçÇìôäwçZ,227.1 m from ìVñûã¥
POINT (135.51639 34.692636 0.0),ëÂç„Ç¬Ç≠ÇŒäJê¨çÇìôäwçZ,256.9 m from ìVñûã¥
POINT (135.516327 34.687698 0.0),ëÂç„ï{óßíÜâõçÇìôäwçZ,292.4 m from ìVñûã¥
POINT (135.51927 34.687568 0.0),ëÂç„ï{óßëÂéËëOçÇìôäwçZ,401.2 m from ìVñûã¥
POINT (135.520866 34.689475 0.0),í«éËñÂäwâ@ëÂéËëOíÜäwçZ,415.5 m from ìVñûã¥
POINT (135.521348 34.689847 0.0),í«éËñÂäwâ@ëÂéËëOçÇìôäwçZ,451.8 m from ìVñûã¥
POINT (135.517315 34.682358 0.0),íJí¨élíöñ⁄,
"POLYGON ((135.517315 34.689553, 135.515753 34.689437, 135.514241 34.689094, 135.512827 34.688534, 135.511558 34.687776, 135.510474 34.686844, 135.50961 34.685767, 135.508994 34.684581, 135.508645 34.683323, 135.508575 34.682035, 135.508785 34.680757, 135.50927 34.67953, 135.510014 34.678394, 135.510992 34.677386, 135.512173 34.676537, 135.513519 34.675876, 135.514988 34.675423, 135.516531 34.675192, 135.518099 34.675192, 135.519642 34.675423, 135.521111 34.675876, 135.522457 34.676537, 135.523638 34.677386, 135.524616 34.678394, 135.52536 34.67953, 135.525845 34.680757, 135.526055 34.682035, 135.525985 34.683323, 135.525636 34.684581, 135.52502 34.685767, 135.524156 34.686844, 135.523072 34.687776, 135.521803 34.688534, 135.520389 34.689094, 135.518877 34.689437, 135.517315 34.689553))",íJí¨élíöñ⁄ 800m radius,
POINT (135.518203 34.682484 0.0),ëÂç„ésóßìåíÜäwçZ,82.4 m from íJí¨élíöñ⁄
POINT (135.516327 34.687698 0.0),ëÂç„ï{óßíÜâõçÇìôäwçZ,600.6 m from íJí¨élíöñ⁄
POINT (135.51927 34.687568 0.0),ëÂç„ï{óßëÂéËëOçÇìôäwçZ,606.3 m from íJí¨élíöñ⁄
POINT (135.516364 34.688285 0.0),ëÂç„ï{óßíÜâõçÇìôäwçZ,664.8 m from íJí¨élíöñ⁄
POINT (135.517104 34.675902 0.0),íJí¨òZíöñ⁄,
"POLYGON ((135.517104 34.683097, 135.515542 34.682981, 135.51403 34.682638, 135.512617 34.682078, 135.511348 34.68132, 135.510264 34.680388, 135.5094 34.679311, 135.508784 34.678125, 135.508435 34.676867, 135.508364 34.675579, 135.508575 34.674301, 135.50906 34.673074, 135.509803 34.671938, 135.510781 34.67093, 135.511962 34.670081, 135.513308 34.66942, 135.514777 34.668967, 135.51632 34.668736, 135.517888 34.668736, 135.519431 34.668967, 135.5209 34.66942, 135.522246 34.670081, 135.523427 34.67093, 135.524405 34.671938, 135.525148 34.673074, 135.525633 34.674301, 135.525844 34.675579, 135.525773 34.676867, 135.525424 34.678125, 135.524808 34.679311, 135.523944 34.680388, 135.52286 34.68132, 135.521591 34.682078, 135.520178 34.682638, 135.518666 34.682981, 135.517104 34.683097))",íJí¨òZíöñ⁄ 800m radius,
POINT (135.519024 34.672394 0.0),ëÂç„ésóßè„í¨íÜäwçZ,427.8 m from íJí¨òZíöñ⁄
POINT (135.512818 34.674356 0.0),ëÂç„ésóßìÏçÇìôäwçZ,428.0 m from íJí¨òZíöñ⁄
POINT (135.524134 34.674603 0.0),ëÂç„ï{óßê¥êÖíJçÇìôäwçZ,658.9 m from íJí¨òZíöñ⁄
POINT (135.518203 34.682484 0.0),ëÂç„ésóßìåíÜäwçZ,738.7 m from íJí¨òZíöñ⁄
POINT (135.508761 34.674281 0.0),ëÂç„ésóßìÏíÜäwçZ,783.9 m from íJí¨òZíöñ⁄
POINT (135.515839 34.667085 0.0),íJí¨ã„íöñ⁄,
"POLYGON ((135.515839 34.67428, 135.514277 34.674164, 135.512765 34.673821, 135.511352 34.673261, 135.510083 34.672503, 135.509 34.671571, 135.508136 34.670494, 135.507519 34.669308, 135.507171 34.66805, 135.5071 34.666762, 135.507311 34.665484, 135.507796 34.664257, 135.508539 34.663121, 135.509517 34.662113, 135.510698 34.661264, 135.512044 34.660603, 135.513512 34.66015, 135.515055 34.659919, 135.516623 34.659919, 135.518166 34.66015, 135.519634 34.660603, 135.52098 34.661264, 135.522161 34.662113, 135.523139 34.663121, 135.523882 34.664257, 135.524367 34.665484, 135.524578 34.666762, 135.524507 34.66805, 135.524159 34.669308, 135.523542 34.670494, 135.522678 34.671571, 135.521595 34.672503, 135.520326 34.673261, 135.518913 34.673821, 135.517401 34.674164, 135.515839 34.67428))",íJí¨ã„íöñ⁄ 800m radius,
POINT (135.519024 34.672394 0.0),ëÂç„ésóßè„í¨íÜäwçZ,658.2 m from íJí¨ã„íöñ⁄
POINT (135.521765 34.663147 0.0),ê¥ïóíÜäwçZÅEê¥ïóçÇìôäwçZ,696.8 m from íJí¨ã„íöñ⁄
POINT (135.52081 34.662138 0.0),è„ã{íÜäwçZÅEè„ã{çÇìôäwçZ,713.7 m from íJí¨ã„íöñ⁄
POINT (135.514245 34.658816 0.0),élìVâ§éõëOó[ózÉñãu,
"POLYGON ((135.514245 34.666011, 135.512683 34.665895, 135.511171 34.665552, 135.509759 34.664992, 135.50849 34.664234, 135.507406 34.663302, 135.506542 34.662225, 135.505926 34.661039, 135.505577 34.659781, 135.505507 34.658493, 135.505718 34.657215, 135.506202 34.655988, 135.506946 34.654852, 135.507923 34.653844, 135.509104 34.652995, 135.51045 34.652334, 135.511918 34.651881, 135.513461 34.65165, 135.515029 34.65165, 135.516572 34.651881, 135.51804 34.652334, 135.519386 34.652995, 135.520567 34.653844, 135.521544 34.654852, 135.522288 34.655988, 135.522772 34.657215, 135.522983 34.658493, 135.522913 34.659781, 135.522564 34.661039, 135.521948 34.662225, 135.521084 34.663302, 135.52 34.664234, 135.518731 34.664992, 135.517319 34.665552, 135.515807 34.665895, 135.514245 34.666011))",élìVâ§éõëOó[ózÉñãu 800m radius,
POINT (135.512364 34.66013 0.0),ëÂç„ó[ózãuäwâÄçÇìôäwçZ,225.7 m from élìVâ§éõëOó[ózÉñãu
POINT (135.5124 34.656365 0.0),ëÂç„êØåıäwâ@íÜäwÅEçÇìôäwçZ,320.6 m from élìVâ§éõëOó[ózÉñãu
POINT (135.514871 34.654419 0.0),élìVâ§éõçÇìôäwçZÅEíÜäwçZ,492.3 m from élìVâ§éõëOó[ózÉñãu
POINT (135.519546 34.660383 0.0),ëÂç„ésóßó[ózãuíÜäwçZ,515.2 m from élìVâ§éõëOó[ózÉñãu
POINT (135.52081 34.662138 0.0),è„ã{íÜäwçZÅEè„ã{çÇìôäwçZ,704.9 m from élìVâ§éõëOó[ózÉñãu
POINT (135.511992 34.642486 0.0),à¢î{ñÏ,
"POLYGON ((135.511992 34.649681, 135.51043 34.649565, 135.508919 34.649222, 135.507506 34.648662, 135.506238 34.647904, 135.505155 34.646972, 135.504291 34.645895, 135.503675 34.644709, 135.503326 34.643451, 135.503256 34.642163, 135.503467 34.640885, 135.503951 34.639658, 135.504694 34.638522, 135.505672 34.637514, 135.506852 34.636665, 135.508198 34.636004, 135.509666 34.635551, 135.511208 34.63532, 135.512776 34.63532, 135.514318 34.635551, 135.515786 34.636004, 135.517132 34.636665, 135.518312 34.637514, 135.51929 34.638522, 135.520033 34.639658, 135.520517 34.640885, 135.520728 34.642163, 135.520658 34.643451, 135.520309 34.644709, 135.519693 34.645895, 135.518829 34.646972, 135.517746 34.647904, 135.516478 34.648662, 135.515065 34.649222, 135.513554 34.649565, 135.511992 34.649681))",à¢î{ñÏ 800m radius,
POINT (135.505852 34.638592 0.0),ëÂíJíÜäwçZ,709.2 m from à¢î{ñÏ
POINT (135.505126 34.638975 0.0),ëÂíJçÇìôäwçZ,739.6 m from à¢î{ñÏ
POINT (135.51861 34.637969 0.0),ëÂç„ésóßçHå|çÇìôäwçZ,786.7 m from à¢î{ñÏ
POINT (135.517708 34.647901 0.0),YMCAäwâ@çÇìôäwçZ,797.5 m from à¢î{ñÏ
POINT (135.517996 34.636157 0.0),ï∂ÇÃó¢,
"POLYGON ((135.517996 34.643352, 135.516435 34.643236, 135.514923 34.642893, 135.513511 34.642333, 135.512242 34.641575, 135.511159 34.640643, 135.510296 34.639566, 135.50968 34.63838, 135.509331 34.637122, 135.509261 34.635834, 135.509471 34.634556, 135.509956 34.633329, 135.510699 34.632193, 135.511676 34.631185, 135.512857 34.630336, 135.514202 34.629675, 135.51567 34.629222, 135.517212 34.628991, 135.51878 34.628991, 135.520322 34.629222, 135.52179 34.629675, 135.523135 34.630336, 135.524316 34.631185, 135.525293 34.632193, 135.526036 34.633329, 135.526521 34.634556, 135.526731 34.635834, 135.526661 34.637122, 135.526312 34.63838, 135.525696 34.639566, 135.524833 34.640643, 135.52375 34.641575, 135.522481 34.642333, 135.521069 34.642893, 135.519557 34.643236, 135.517996 34.643352))",ï∂ÇÃó¢ 800m radius,
POINT (135.51861 34.637969 0.0),ëÂç„ésóßçHå|çÇìôäwçZ,209.2 m from ï∂ÇÃó¢
POINT (135.519635 34.637735 0.0),ëÂç„ésóßëÊìÒçHå|çÇìôäwçZ,230.8 m from ï∂ÇÃó¢
POINT (135.515024 34.635138 0.0),ï{óßà¢î{ñÏçÇìôäwçZ,294.6 m from ï∂ÇÃó¢
POINT (135.521561 34.63542 0.0),éÑóßñæèÚäwâ@çÇìôäwçZ,336.3 m from ï∂ÇÃó¢
POINT (135.520892 34.640047 0.0),ëÂç„ï{óßìVâ§éõçÇìôäwçZ,507.2 m from ï∂ÇÃó¢
POINT (135.522612 34.639926 0.0),ëÂç„ésóßï∂ÇÃó¢íÜäwçZ,594.9 m from ï∂ÇÃó¢
POINT (135.517308 34.62918 0.0),éÑóßìçéRäwâ@çÇìôäwçZíÜäwçZ,778.3 m from ï∂ÇÃó¢
POINT (135.525012 34.628789 0.0),ìcï”,
"POLYGON ((135.525012 34.635984, 135.523451 34.635868, 135.52194 34.635525, 135.520527 34.634965, 135.519259 34.634207, 135.518176 34.633275, 135.517312 34.632198, 135.516696 34.631012, 135.516348 34.629754, 135.516277 34.628466, 135.516488 34.627188, 135.516972 34.625961, 135.517715 34.624825, 135.518693 34.623817, 135.519873 34.622968, 135.521219 34.622307, 135.522686 34.621854, 135.524228 34.621623, 135.525796 34.621623, 135.527338 34.621854, 135.528805 34.622307, 135.530151 34.622968, 135.531331 34.623817, 135.532309 34.624825, 135.533052 34.625961, 135.533536 34.627188, 135.533747 34.628466, 135.533676 34.629754, 135.533328 34.631012, 135.532712 34.632198, 135.531848 34.633275, 135.530765 34.634207, 135.529497 34.634965, 135.528084 34.635525, 135.526573 34.635868, 135.525012 34.635984))",ìcï” 800m radius,
POINT (135.521019 34.627462 0.0),ëÂç„ésóßè∫òaíÜäwçZ,394.0 m from ìcï”
POINT (135.518502 34.628903 0.0),ésóßà¢î{ñÏíÜäwçZ,595.8 m from ìcï”
POINT (135.517308 34.62918 0.0),éÑóßìçéRäwâ@çÇìôäwçZíÜäwçZ,706.2 m from ìcï”
POINT (135.532508 34.621649 0.0),ãÓêÏíÜñÏ,
"POLYGON ((135.532508 34.628844, 135.530947 34.628728, 135.529436 34.628385, 135.528024 34.627825, 135.526755 34.627067, 135.525672 34.626135, 135.524809 34.625058, 135.524193 34.623872, 135.523844 34.622614, 135.523774 34.621326, 135.523985 34.620048, 135.524469 34.618821, 135.525212 34.617685, 135.526189 34.616677, 135.52737 34.615828, 135.528715 34.615167, 135.530182 34.614714, 135.531724 34.614483, 135.533292 34.614483, 135.534834 34.614714, 135.536301 34.615167, 135.537646 34.615828, 135.538827 34.616677, 135.539804 34.617685, 135.540547 34.618821, 135.541031 34.620048, 135.541242 34.621326, 135.541172 34.622614, 135.540823 34.623872, 135.540207 34.625058, 135.539344 34.626135, 135.538261 34.627067, 135.536992 34.627825, 135.53558 34.628385, 135.534069 34.628728, 135.532508 34.628844))",ãÓêÏíÜñÏ 800m radius,
POINT (135.53958 34.620415 0.0),ésóßíÜñÏíÜäwçZ,661.5 m from ãÓêÏíÜñÏ
POINT (135.551708 34.630926 0.0),ïΩñÏ,
"POLYGON ((135.551708 34.638121, 135.550147 34.638005, 135.548635 34.637662, 135.547223 34.637102, 135.545955 34.636344, 135.544872 34.635412, 135.544008 34.634335, 135.543392 34.633149, 135.543043 34.631891, 135.542973 34.630603, 135.543184 34.629325, 135.543668 34.628098, 135.544411 34.626962, 135.545388 34.625954, 135.546569 34.625105, 135.547915 34.624444, 135.549382 34.623991, 135.550924 34.62376, 135.552492 34.62376, 135.554034 34.623991, 135.555501 34.624444, 135.556847 34.625105, 135.558028 34.625954, 135.559005 34.626962, 135.559748 34.628098, 135.560232 34.629325, 135.560443 34.630603, 135.560373 34.631891, 135.560024 34.633149, 135.559408 34.634335, 135.558544 34.635412, 135.557461 34.636344, 135.556193 34.637102, 135.554781 34.637662, 135.553269 34.638005, 135.551708 34.638121))",ïΩñÏ 800m radius,
POINT (135.552157 34.631464 0.0),éÑóßìVâ§éõäwäŸçÇìôäwçZ,72.6 m from ïΩñÏ
POINT (135.553405 34.628113 0.0),ésóßïΩñÏñkíÜäwçZ,349.2 m from ïΩñÏ
POINT (135.55131 34.609262 0.0),äÏòAâZîj,
"POLYGON ((135.55131 34.616457, 135.549749 34.616341, 135.548238 34.615998, 135.546826 34.615438, 135.545558 34.61468, 135.544475 34.613748, 135.543612 34.612671, 135.542996 34.611485, 135.542648 34.610227, 135.542577 34.608939, 135.542788 34.607661, 135.543272 34.606434, 135.544015 34.605298, 135.544992 34.60429, 135.546172 34.603441, 135.547518 34.60278, 135.548985 34.602327, 135.550526 34.602096, 135.552094 34.602096, 135.553635 34.602327, 135.555102 34.60278, 135.556448 34.603441, 135.557628 34.60429, 135.558605 34.605298, 135.559348 34.606434, 135.559832 34.607661, 135.560043 34.608939, 135.559972 34.610227, 135.559624 34.611485, 135.559008 34.612671, 135.558145 34.613748, 135.557062 34.61468, 135.555794 34.615438, 135.554382 34.615998, 135.552871 34.616341, 135.55131 34.616457))",äÏòAâZîj 800m radius,
POINT (135.553177 34.606438 0.0),ésóßâZîjíÜäwçZ,357.5 m from äÏòAâZîj
POINT (135.547782 34.611329 0.0),ésóßäÏòAíÜäwçZ,396.3 m from äÏòAâZîj
POINT (135.544664 34.613435 0.0),ï{óßìåèZãgëççáçÇìôäwçZ,765.1 m from äÏòAâZîj
POINT (135.565177 34.609098 0.0),èoåÀ,
"POLYGON ((135.565177 34.616293, 135.563616 34.616177, 135.562105 34.615834, 135.560693 34.615274, 135.559425 34.614516, 135.558342 34.613584, 135.557479 34.612507, 135.556863 34.611321, 135.556515 34.610063, 135.556444 34.608775, 135.556655 34.607497, 135.557139 34.60627, 135.557882 34.605134, 135.558859 34.604126, 135.560039 34.603277, 135.561385 34.602616, 135.562852 34.602163, 135.564393 34.601932, 135.565961 34.601932, 135.567502 34.602163, 135.568969 34.602616, 135.570315 34.603277, 135.571495 34.604126, 135.572472 34.605134, 135.573215 34.60627, 135.573699 34.607497, 135.57391 34.608775, 135.573839 34.610063, 135.573491 34.611321, 135.572875 34.612507, 135.572012 34.613584, 135.570929 34.614516, 135.569661 34.615274, 135.568249 34.615834, 135.566738 34.616177, 135.565177 34.616293))",èoåÀ 800m radius,
POINT (135.573675 34.602908 0.0),í∑å¥,
"POLYGON ((135.573675 34.610103, 135.572114 34.609987, 135.570603 34.609644, 135.569192 34.609084, 135.567924 34.608326, 135.566841 34.607394, 135.565978 34.606317, 135.565362 34.605131, 135.565013 34.603873, 135.564943 34.602585, 135.565154 34.601307, 135.565638 34.60008, 135.566381 34.598944, 135.567358 34.597936, 135.568538 34.597087, 135.569883 34.596426, 135.57135 34.595973, 135.572892 34.595742, 135.574458 34.595742, 135.576 34.595973, 135.577467 34.596426, 135.578812 34.597087, 135.579992 34.597936, 135.580969 34.598944, 135.581712 34.60008, 135.582196 34.601307, 135.582407 34.602585, 135.582337 34.603873, 135.581988 34.605131, 135.581372 34.606317, 135.580509 34.607394, 135.579426 34.608326, 135.578158 34.609084, 135.576747 34.609644, 135.575236 34.609987, 135.573675 34.610103))",í∑å¥ 800m radius,
POINT (135.575933 34.604998 0.0),ésóßí∑ãgíÜäwçZ,311.0 m from í∑å¥
POINT (135.565803 34.600486 0.0),ésóßí∑ãgêºíÜäwçZ,769.2 m from í∑å¥
POINT (135.582515 34.597329 0.0),î™îˆìÏ,
